0.1,0.17,,-0.185150336,-0.194123658,-0.205331791,-0.221477211,-0.237260751,-0.249139456,-0.273004719,-0.294414116
0.2,0.18,,-0.206125965,-0.215446373,-0.226460011,-0.241911315,-0.257085831,-0.268607518,-0.293044439,-0.313792225
0.3,0.19,,-0.227101594,-0.236769088,-0.247588231,-0.262345419,-0.276910911,-0.28807558,-0.313084159,-0.333170334
0.4,0.2,,-0.248077223,-0.258091802,-0.268716452,-0.282779522,-0.296735992,-0.307543642,-0.333123878,-0.352548443
0.5,0.21,,-0.27000494,-0.277917702,-0.289638331,-0.303191312,-0.316685395,-0.327361213,-0.352873165,-0.371925268
0.6,0.22,,-0.289925589,-0.299890762,-0.31056021,-0.323572348,-0.336532411,-0.347148717,-0.372346446,-0.39105972
0.7,0.23,,-0.310613244,-0.320931579,-0.331676898,-0.344125395,-0.356341869,-0.366842478,-0.392179886,-0.410337296
0.8,0.24,,-0.331671088,-0.341979039,-0.352714005,-0.364120672,-0.375861039,-0.386502114,-0.411441435,-0.4295232
,0.25,,-0.352502872,-0.362914556,-0.373467597,-0.384274621,-0.395393171,-0.405923636,-0.430892846,-0.44875114
,0.26,,-0.37333101,-0.383694884,-0.394254067,-0.404077567,-0.414886464,-0.425847509,-0.450581839,-0.46802383
,0.27,,-0.394063922,-0.404511016,-0.416226255,-0.424343613,-0.434320582,-0.445404562,-0.469875527,-0.487034043
,0.28,,-0.41479541,-0.425346773,-0.436157726,-0.444927819,-0.454154729,-0.465158355,-0.489391505,-0.50629121
,0.29,,-0.435790236,-0.446002934,-0.457232724,-0.465014883,-0.473315739,-0.484570831,-0.508437335,-0.525868424
,0.3,,-0.457222616,-0.466765428,-0.477778687,-0.484368298,-0.492723822,-0.503731487,-0.528217069,-0.545138362
,0.31,,-0.476987758,-0.487233276,-0.499023372,-0.505087484,-0.511641812,-0.523560835,-0.548062325,-0.564338402
,0.32,,-0.492376913,-0.502953541,-0.5151209,-0.521419171,-0.528207074,-0.540537955,-0.565824124,-0.582542904
,0.33,,-0.507763692,-0.51867084,-0.531218429,-0.53771352,-0.544713545,-0.557429766,-0.583506128,-0.60074737
,0.34,,-0.52315047,-0.534388138,-0.547315957,-0.554007869,-0.561220016,-0.574321577,-0.601188132,-0.618951836
