1,0.8,,0,0,0,0
1.2,0.806666667,,0,0,0,0.027063322
1.4,0.813333333,,0,0,0,0.097047466
1.5,0.82,,0,0,0.083607848,0.131482317
,0.826666667,,0,0,0.119195854,0.167523135
,0.833333333,,0,0,0.138671796,0.269117645
,0.84,,0,0,0.162558791,0.328657462
,0.846666667,,0,0.114653606,0.236408645,0.3920162
,0.853333333,,0,0.168913114,0.309286059,0.454719691
,0.86,,0,0.188303188,0.378205987,0.519197066
,0.866666667,,0,0.234418605,0.453297833,0.596608666
,0.873333333,,0,0.289038389,0.518398617,0.67889618
,0.88,,0.167134879,0.348792232,0.5978736,0.767997181
,0.886666667,,0.212854445,0.416901234,0.686081935,0.86563028
,0.893333333,,0.283313968,0.48828383,0.779650962,0.970593474
,0.9,,0.360046559,0.571583674,0.883411294,1.09149921
,0.906666667,,0.460042898,0.671394164,1.001868692,1.23409175
,0.913333333,,0.572710298,0.793490956,1.141807943,1.39568653
,0.92,,0.702670343,0.934695341,1.309448665,1.580007083
,0.926666667,,0.860413469,1.095096079,1.503495797,1.808262552
,0.933333333,,1.047882775,1.299039387,1.737858457,2.096157675
,0.94,,1.280509984,1.562905371,2.049315801,2.502674904
,0.946666667,,1.564503705,1.948208114,2.516949549,3.198195595
,0.953333333,,1.929111051,2.490049962,3.265819164,4.291681502
,0.96,,2.446438826,3.281858184,4.44301479,6.132102289
,0.966666667,,3.210573181,4.53989111,7.091069722,8.987138218
,0.973333333,,4.546838174,6.621141497,10.08887457,10.38487415
,0.98,,6.430062307,7.50666545,10.15797645,10.45600343
,0.986666667,,6.473804227,7.557731201,10.22707833,10.5271327
,0.993333333,,6.517546148,7.608796953,10.29618021,10.59826198
,1,,6.561288068,7.659862704,10.36528209,10.66939125
