"Time, min.","Thrust, lbf","VTAS, fps","Altitude, ft",Total Aircraft CD,Total Aircraft CL,Profile Drag,Induced Drag,Wave Drag
1,0,0,0,0,0,0,0,0
2,69132.4452,558.314290980912,11344.1339928687,0.021352030711526,0.348381803071429,0.017004827485919,0.00434720322560699,0
3,45114.6751015672,536.092923667973,18058.8490916194,0.0281223132335376,0.531695130741041,0.01780960663307,0.0103127066004676,0
4,34439.7408037892,522.494795915837,22692.7932088201,0.0363176965863726,0.694858279825031,0.0183239057334364,0.0179937908529362,0
5,28344.9387262986,615.480335806331,26826.132335248,0.0310079333864496,0.585317205576025,0.0184495407090794,0.0125583926773702,0
6,23674.979620173,605.025868282872,29912.8338459564,0.0369933455799773,0.699789102541987,0.018784103790707,0.0182092417892703,0
7,20611.2239832887,597.099288801041,32283.6341553021,0.0433467793442935,0.802913260352471,0.0190484128421948,0.0242983665020987,0
8,18483.0980768708,689.428761222231,34401.3403733462,0.0372312223532673,0.657201596116594,0.0190233673562469,0.015921230301132,0.00228662469588847
9,16736.0216445433,682.944988864215,36036.8065624395,0.0419264339351239,0.7251763449482,0.0192147700437803,0.0195387756976952,0.00317288819364832
10,15480.4245266291,749.558462700047,37380.0319792283,0.0388246895966813,0.64075920541169,0.0192013269115565,0.0150632115684606,0.00456015111666424
11,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
12,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
13,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
14,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
15,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
16,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
17,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
18,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
19,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
20,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
21,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
22,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
23,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
24,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
25,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
26,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
27,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
28,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
29,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
30,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
31,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
32,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
33,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
34,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
35,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
36,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
37,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
38,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
39,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
40,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
41,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
42,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
43,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
44,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
45,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
46,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
47,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
48,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
49,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
